##
## assembly : /home/cs02gl/blobtools/hypho_ge_1k/hypho_platanus_gapcloser_sorted_ge_1k.fasta
## bam0 : /home/cs02gl/blobtools/hypho/hiseq_ge_1k.bam
## tax0 : /home/cs02gl/blobtools/hypho_ge_1k/hypho_ge_1k_vs_nt_trans_mito_1e-10.megablast
## nodesDB : ../data/nodesDB.txt
## taxrule : bestsum
##
# name	length	GC	N	bam0	species.t	species.s	species.c	species.hits
scaffold8017_cov502	15023	0.5242	0	1136.27824003	Hyphochytrium catenoides	3915.0	0	tax0=Hyphochytrium catenoides:3915.0;
scaffold27274_cov561	15017	0.4901	42	582.86918197	Hyphochytrium catenoides	3037.0	0	tax0=Hyphochytrium catenoides:3037.0;
scaffold41882_cov610	15004	0.4968	0	606.908291122	Hyphochytrium catenoides	855.0	0	tax0=Hyphochytrium catenoides:855.0;
scaffold4696_cov563	14949	0.4915	0	619.082279751	Hyphochytrium catenoides	25729.0	1	tax0=Hyphochytrium catenoides:25729.0|Emiliania huxleyi:106.0;
scaffold1691_cov469	14934	0.4894	0	574.699142895	Hyphochytrium catenoides	2294.0	0	tax0=Hyphochytrium catenoides:2294.0;
scaffold11853_cov495	14845	0.4862	0	559.891950152	Nematostella vectensis	188.7	3	tax0=Nematostella vectensis:188.7|Theileria orientalis:115.0|Babesia equi:113.0|Tetrahymena thermophila:111.0;
scaffold41905_cov723	14822	0.5037	342	702.366505525	Danio rerio	252.6	2	tax0=Danio rerio:252.6|Takifugu rubripes:110.0|Chrysemys picta:106.0;
scaffold42192_cov367	14818	0.4953	7	454.131118763	Hyphochytrium catenoides	907.0	0	tax0=Hyphochytrium catenoides:907.0;
scaffold397_cov463	14813	0.4961	172	542.613755891	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold1573_cov397	14786	0.4801	173	582.981454869	Hyphochytrium catenoides	1106.0	0	tax0=Hyphochytrium catenoides:1106.0;
scaffold2790_cov477	14768	0.4989	214	543.777655627	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold246_cov725	14721	0.5068	0	777.971265539	Hyphochytrium catenoides	4302.8	1	tax0=Hyphochytrium catenoides:4302.8|Albugo laibachii:100.0;
scaffold1570_cov403	14708	0.4795	4	438.924714363	Hyphochytrium catenoides	2681.0	0	tax0=Hyphochytrium catenoides:2681.0;
scaffold15724_cov504	14693	0.5139	193	533.417655172	Hyphochytrium catenoides	7451.0	0	tax0=Hyphochytrium catenoides:7451.0;
scaffold3937_cov566	14680	0.5088	111	576.790651383	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold8325_cov656	14670	0.4968	115	658.262727585	Hyphochytrium catenoides	6973.3	0	tax0=Hyphochytrium catenoides:6973.3;
scaffold2361_cov715	14663	0.5002	0	770.272386278	Hyphochytrium catenoides	2986.0	0	tax0=Hyphochytrium catenoides:2986.0;
scaffold8656_cov545	14637	0.4962	158	576.831894468	Hyphochytrium catenoides	4835.0	0	tax0=Hyphochytrium catenoides:4835.0;
scaffold3726_cov543	14565	0.489	0	553.620871953	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold41890_cov474	14551	0.4941	198	512.111265937	Hyphochytrium catenoides	5691.0	0	tax0=Hyphochytrium catenoides:5691.0;
scaffold4534_cov481	14550	0.4975	212	523.034105175	Hyphochytrium catenoides	4437.0	0	tax0=Hyphochytrium catenoides:4437.0;
scaffold8933_cov582	14535	0.4991	0	614.850636395	Hyphochytrium catenoides	3179.0	2	tax0=Hyphochytrium catenoides:3179.0|Penicillium rubens:492.0|Talaromyces stipitatus:430.0;
scaffold2777_cov399	14533	0.4751	38	432.513142463	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold3066_cov581	14494	0.4688	57	1595.15169357	Hyphochytrium catenoides	2650.0	0	tax0=Hyphochytrium catenoides:2650.0;
scaffold437_cov408	14494	0.4782	8	501.742579042	Hyphochytrium catenoides	310.0	0	tax0=Hyphochytrium catenoides:310.0;
scaffold769_cov564	14482	0.5055	246	604.587524586	Hyphochytrium catenoides	8190.0	13	tax0=Hyphochytrium catenoides:8190.0|Arabidopsis thaliana:1564.0|Phytophthora infestans:1290.0|Phytophthora nicotianae:1249.0|Ditylum brightwellii:1048.0|Yarrowia lipolytica:961.0|Achlya klebsiana:957.0|Monosiga brevicollis:848.0|Nannochloropsis gaditana:846.0|Micromonas sp. RCC299:828.0|Myotis brandtii:793.0|Musa balbisiana:728.0|Lachancea thermotolerans:697.0|Monopterus albus:244.0;
scaffold2172_cov426	14479	0.5109	133	532.205423114	Hyphochytrium catenoides	562.0	0	tax0=Hyphochytrium catenoides:562.0;
scaffold4632_cov560	14471	0.4815	0	609.439223274	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold5450_cov599	14449	0.5099	73	601.404145799	Hyphochytrium catenoides	3154.0	0	tax0=Hyphochytrium catenoides:3154.0;
scaffold6214_cov641	14445	0.5002	46	614.284047503	Hyphochytrium catenoides	2278.5	0	tax0=Hyphochytrium catenoides:2278.5;
scaffold16810_cov711	14440	0.5064	105	927.799372166	Hyphochytrium catenoides	1388.0	0	tax0=Hyphochytrium catenoides:1388.0;
scaffold14684_cov560	14438	0.5007	27	574.6272292	Hyphochytrium catenoides	4888.6	0	tax0=Hyphochytrium catenoides:4888.6;
scaffold5129_cov587	14429	0.4871	0	596.36315753	Hyphochytrium catenoides	1717.0	0	tax0=Hyphochytrium catenoides:1717.0;
scaffold1380_cov561	14400	0.4998	42	619.52479454	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold1880_cov566	14394	0.5148	184	576.725826882	Hyphochytrium catenoides	13219.0	0	tax0=Hyphochytrium catenoides:13219.0;
scaffold3711_cov510	14373	0.4967	135	558.98574238	Hyphochytrium catenoides	2365.0	0	tax0=Hyphochytrium catenoides:2365.0;
scaffold6470_cov489	14350	0.4992	0	516.884390244	Hyphochytrium catenoides	614.0	0	tax0=Hyphochytrium catenoides:614.0;
scaffold15513_cov488	14342	0.4881	22	502.388198324	Hyphochytrium catenoides	2319.0	0	tax0=Hyphochytrium catenoides:2319.0;
scaffold957_cov489	14342	0.5101	0	979.899037791	Hyphochytrium catenoides	1198.0	0	tax0=Hyphochytrium catenoides:1198.0;
scaffold3390_cov493	14336	0.496	57	574.614608866	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold218_cov564	14332	0.5125	45	648.672079513	Hyphochytrium catenoides	3961.0	0	tax0=Hyphochytrium catenoides:3961.0;
scaffold282_cov492	14331	0.4993	45	590.979280414	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold669_cov579	14329	0.4879	149	622.518899859	Hyphochytrium catenoides	4095.0	0	tax0=Hyphochytrium catenoides:4095.0;
scaffold213_cov451	14324	0.4716	328	502.3274507	Hyphochytrium catenoides	139.0	0	tax0=Hyphochytrium catenoides:139.0;
scaffold160_cov351	14309	0.4833	335	385.795047946	Hyphochytrium catenoides	1354.3	0	tax0=Hyphochytrium catenoides:1354.3;
scaffold5244_cov506	14279	0.5109	49	610.555375966	Hyphochytrium catenoides	922.0	0	tax0=Hyphochytrium catenoides:922.0;
scaffold3216_cov477	14278	0.5077	182	558.943530079	Hyphochytrium catenoides	9236.0	0	tax0=Hyphochytrium catenoides:9236.0;
scaffold10113_cov482	14240	0.4986	21	550.117800127	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold399_cov751	14233	0.4787	71	800.711128372	Hyphochytrium catenoides	1004.0	0	tax0=Hyphochytrium catenoides:1004.0;
scaffold1790_cov459	14226	0.4874	105	570.958218256	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold2340_cov492	14220	0.4854	123	531.976236079	Hyphochytrium catenoides	4944.0	2	tax0=Hyphochytrium catenoides:4944.0|Salmo salar:540.0|Latimeria chalumnae:110.0;
scaffold1451_cov474	14214	0.4908	44	511.07833451	Hyphochytrium catenoides	5037.0	1	tax0=Hyphochytrium catenoides:5037.0|Phytophthora capsici:108.0;
scaffold3243_cov450	14196	0.4804	104	510.366520011	Hyphochytrium catenoides	2188.0	0	tax0=Hyphochytrium catenoides:2188.0;
scaffold23_cov548	14179	0.5093	70	578.773194415	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold12833_cov429	14174	0.4872	60	518.144891597	Hyphochytrium catenoides	1146.8	0	tax0=Hyphochytrium catenoides:1146.8;
scaffold800_cov750	14118	0.4985	75	744.570889411	Hyphochytrium catenoides	2872.2	0	tax0=Hyphochytrium catenoides:2872.2;
scaffold1104_cov327	14049	0.5094	0	319.986831803	Hyphochytrium catenoides	2546.0	0	tax0=Hyphochytrium catenoides:2546.0;
scaffold623_cov468	14038	0.4998	122	564.349885024	Hyphochytrium catenoides	6280.0	2	tax0=Hyphochytrium catenoides:6280.0|Aspergillus fumigatus:168.4|Pinguiochrysis pyriformis:124.0;
scaffold3838_cov314	14031	0.4915	315	516.583041703	Hyphochytrium catenoides	2237.0	0	tax0=Hyphochytrium catenoides:2237.0;
scaffold1539_cov483	13952	0.4993	28	1044.2149526	Hyphochytrium catenoides	3028.1	0	tax0=Hyphochytrium catenoides:3028.1;
scaffold6741_cov585	13951	0.5079	46	610.502049622	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold2925_cov756	13919	0.4955	0	756.188806667	Hyphochytrium catenoides	2527.0	0	tax0=Hyphochytrium catenoides:2527.0;
scaffold14043_cov480	13881	0.4936	0	522.985159571	Hyphochytrium catenoides	4789.3	0	tax0=Hyphochytrium catenoides:4789.3;
scaffold46619_cov736	13852	0.5178	0	707.369188565	Hyphochytrium catenoides	2497.0	0	tax0=Hyphochytrium catenoides:2497.0;
scaffold2338_cov478	13820	0.4997	55	658.064874682	Hyphochytrium catenoides	2313.0	0	tax0=Hyphochytrium catenoides:2313.0;
scaffold41900_cov426	13810	0.5037	0	528.187907314	Hyphochytrium catenoides	738.0	0	tax0=Hyphochytrium catenoides:738.0;
scaffold1830_cov419	13804	0.4772	300	474.280509479	Hyphochytrium catenoides	2576.0	0	tax0=Hyphochytrium catenoides:2576.0;
scaffold16142_cov403	13794	0.4793	0	770.575322604	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold10199_cov546	13781	0.509	0	588.066323199	Hyphochytrium catenoides	525.0	0	tax0=Hyphochytrium catenoides:525.0;
scaffold2254_cov433	13778	0.4866	10	508.300987798	Hyphochytrium catenoides	3128.0	0	tax0=Hyphochytrium catenoides:3128.0;
scaffold734_cov334	13762	0.4725	0	494.562200262	Hyphochytrium catenoides	612.0	0	tax0=Hyphochytrium catenoides:612.0;
scaffold18148_cov640	13743	0.4898	0	608.583060467	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold4777_cov515	13725	0.5034	0	647.690200364	Hyphochytrium catenoides	393.0	0	tax0=Hyphochytrium catenoides:393.0;
scaffold12473_cov434	13715	0.4891	417	582.301774703	Hyphochytrium catenoides	5011.3	0	tax0=Hyphochytrium catenoides:5011.3;
scaffold845_cov520	13705	0.5183	34	554.841562431	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold4688_cov428	13690	0.5027	43	545.727778999	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold4313_cov399	13684	0.4849	334	511.913932584	Hyphochytrium catenoides	2592.0	0	tax0=Hyphochytrium catenoides:2592.0;
scaffold306_cov452	13650	0.4919	121	485.500923941	Hyphochytrium catenoides	1779.0	0	tax0=Hyphochytrium catenoides:1779.0;
scaffold22459_cov658	13643	0.4948	0	612.365975225	Hyphochytrium catenoides	3234.0	0	tax0=Hyphochytrium catenoides:3234.0;
scaffold1403_cov434	13641	0.485	0	525.227842534	Hyphochytrium catenoides	1357.0	3	tax0=Hyphochytrium catenoides:1357.0|Phyllostachys edulis:226.0|Chlamydomonas reinhardtii:135.0|Oryza sativa:102.0;
scaffold1961_cov489	13604	0.4924	68	552.045065012	Hyphochytrium catenoides	1315.0	0	tax0=Hyphochytrium catenoides:1315.0;
scaffold41912_cov616	13549	0.5228	0	659.665953207	Hyphochytrium catenoides	761.0	0	tax0=Hyphochytrium catenoides:761.0;
scaffold807_cov595	13547	0.497	25	629.691909481	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold5753_cov560	13543	0.4919	43	688.157703704	Hyphochytrium catenoides	1467.0	0	tax0=Hyphochytrium catenoides:1467.0;
scaffold41889_cov463	13524	0.4948	0	555.603593611	Hyphochytrium catenoides	3920.0	0	tax0=Hyphochytrium catenoides:3920.0;
scaffold2731_cov297	13518	0.4689	168	298.996404494	Hyphochytrium catenoides	87.9	0	tax0=Hyphochytrium catenoides:87.9;
scaffold2366_cov755	13496	0.4938	78	826.048740498	Hyphochytrium catenoides	2407.0	0	tax0=Hyphochytrium catenoides:2407.0;
scaffold1058_cov437	13494	0.4791	97	1017.8593715	Hyphochytrium catenoides	1841.0	0	tax0=Hyphochytrium catenoides:1841.0;
scaffold8936_cov415	13494	0.5066	42	483.85563485	Hyphochytrium catenoides	411.0	0	tax0=Hyphochytrium catenoides:411.0;
scaffold4844_cov488	13449	0.4879	38	549.685034673	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold548_cov607	13425	0.5137	0	654.688640596	Hyphochytrium catenoides	1727.1	0	tax0=Hyphochytrium catenoides:1727.1;
scaffold3131_cov640	13413	0.4866	16	637.914533104	Hyphochytrium catenoides	6871.0	0	tax0=Hyphochytrium catenoides:6871.0;
scaffold2639_cov780	13399	0.4954	19	860.387892377	Hyphochytrium catenoides	3267.0	0	tax0=Hyphochytrium catenoides:3267.0;
scaffold7550_cov492	13367	0.4893	0	563.821874766	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold15154_cov482	13338	0.5148	0	581.68308592	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold5006_cov399	13326	0.4869	36	445.363130173	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold3590_cov573	13311	0.4902	0	555.826910074	Hyphochytrium catenoides	4585.0	0	tax0=Hyphochytrium catenoides:4585.0;
scaffold5064_cov450	13286	0.5146	67	874.816400635	Hyphochytrium catenoides	1582.0	0	tax0=Hyphochytrium catenoides:1582.0;
scaffold348_cov351	13285	0.4773	337	434.105885079	Hyphochytrium catenoides	1050.0	0	tax0=Hyphochytrium catenoides:1050.0;
scaffold11900_cov393	13281	0.4917	0	457.23996687	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold2485_cov816	13271	0.4956	70	846.446557079	Hyphochytrium catenoides	4927.0	0	tax0=Hyphochytrium catenoides:4927.0;
scaffold4127_cov642	13246	0.4957	0	633.706250944	Hyphochytrium catenoides	1518.0	0	tax0=Hyphochytrium catenoides:1518.0;
scaffold10714_cov588	13231	0.5076	0	607.668354622	Hyphochytrium catenoides	9853.0	0	tax0=Hyphochytrium catenoides:9853.0;
scaffold46097_cov673	13217	0.5031	0	635.367027313	Hyphochytrium catenoides	4967.0	0	tax0=Hyphochytrium catenoides:4967.0;
scaffold14776_cov432	13214	0.5023	48	499.365942579	Hyphochytrium catenoides	3154.0	0	tax0=Hyphochytrium catenoides:3154.0;
scaffold3268_cov285	13184	0.4862	33	372.737358376	Hyphochytrium catenoides	2300.0	0	tax0=Hyphochytrium catenoides:2300.0;
scaffold1554_cov428	13135	0.4815	457	537.097649472	Hyphochytrium catenoides	2159.0	0	tax0=Hyphochytrium catenoides:2159.0;
scaffold2699_cov460	13116	0.4987	0	561.70242452	Hyphochytrium catenoides	3576.2	0	tax0=Hyphochytrium catenoides:3576.2;
scaffold11703_cov589	13104	0.5121	16	642.7512989	Hyphochytrium catenoides	990.0	0	tax0=Hyphochytrium catenoides:990.0;
scaffold4036_cov412	13080	0.4913	250	473.9020265	Hyphochytrium catenoides	503.0	0	tax0=Hyphochytrium catenoides:503.0;
scaffold23642_cov607	13076	0.4796	58	583.298740206	Hyphochytrium catenoides	1262.0	1	tax0=Hyphochytrium catenoides:1262.0|Cucumis sativus:190.6;
scaffold9390_cov586	13037	0.4937	28	629.498501038	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold4912_cov427	13036	0.4861	0	472.099110156	Hyphochytrium catenoides	5741.8	0	tax0=Hyphochytrium catenoides:5741.8;
scaffold46_cov425	13013	0.5053	168	553.795640327	Hyphochytrium catenoides	2808.0	0	tax0=Hyphochytrium catenoides:2808.0;
scaffold645_cov408	13005	0.4744	0	476.208304498	Hyphochytrium catenoides	1406.0	0	tax0=Hyphochytrium catenoides:1406.0;
scaffold3826_cov504	12995	0.472	0	600.345363601	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold41645_cov517	12982	0.4968	34	866.093527958	Hyphochytrium catenoides	1559.0	0	tax0=Hyphochytrium catenoides:1559.0;
scaffold4233_cov563	12969	0.4942	147	604.641865544	Hyphochytrium catenoides	755.0	0	tax0=Hyphochytrium catenoides:755.0;
scaffold6476_cov507	12959	0.4973	0	536.322247087	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold3511_cov465	12957	0.4975	0	548.291657019	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold1112_cov415	12947	0.5064	0	859.283617827	Hyphochytrium catenoides	1830.1	0	tax0=Hyphochytrium catenoides:1830.1;
scaffold1999_cov458	12936	0.5055	95	566.530721906	Hyphochytrium catenoides	2717.8	0	tax0=Hyphochytrium catenoides:2717.8;
scaffold4642_cov420	12932	0.4554	4	506.257580446	Hyphochytrium catenoides	2460.8	0	tax0=Hyphochytrium catenoides:2460.8;
scaffold5260_cov416	12927	0.4448	345	416.349944365	Hyphochytrium catenoides	4068.0	0	tax0=Hyphochytrium catenoides:4068.0;
scaffold3260_cov571	12922	0.4985	0	588.544575143	Hyphochytrium catenoides	3039.0	0	tax0=Hyphochytrium catenoides:3039.0;
scaffold4808_cov511	12911	0.5186	0	566.100766788	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold3304_cov391	12887	0.5019	86	501.006796344	Hyphochytrium catenoides	7397.0	0	tax0=Hyphochytrium catenoides:7397.0;
scaffold6065_cov529	12886	0.5066	138	562.677439598	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold2972_cov467	12881	0.5035	0	514.695132365	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold41658_cov505	12879	0.4794	181	480.452039691	Hyphochytrium catenoides	3403.0	0	tax0=Hyphochytrium catenoides:3403.0;
scaffold4364_cov653	12873	0.489	24	652.38493268	Hyphochytrium catenoides	2525.0	0	tax0=Hyphochytrium catenoides:2525.0;
scaffold5914_cov585	12855	0.4824	44	587.299976583	Hyphochytrium catenoides	3816.2	0	tax0=Hyphochytrium catenoides:3816.2;
scaffold3606_cov475	12789	0.4948	0	501.980842912	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold49784_cov673	12780	0.4801	0	645.0157277	Hyphochytrium catenoides	8318.2	0	tax0=Hyphochytrium catenoides:8318.2;
scaffold6_cov442	12765	0.4912	137	544.360547989	Hyphochytrium catenoides	821.0	0	tax0=Hyphochytrium catenoides:821.0;
scaffold12180_cov382	12757	0.4654	97	378.331121643	Hyphochytrium catenoides	1560.0	0	tax0=Hyphochytrium catenoides:1560.0;
scaffold1069_cov490	12747	0.5	84	584.277106531	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold2815_cov482	12739	0.4976	0	549.839626344	Hyphochytrium catenoides	2963.0	0	tax0=Hyphochytrium catenoides:2963.0;
scaffold3330_cov509	12725	0.5136	50	558.807810651	Hyphochytrium catenoides	3728.0	0	tax0=Hyphochytrium catenoides:3728.0;
scaffold1438_cov518	12725	0.4998	123	578.883986669	Hyphochytrium catenoides	10563.0	0	tax0=Hyphochytrium catenoides:10563.0;
scaffold5451_cov304	12712	0.461	0	301.703823159	Hyphochytrium catenoides	424.0	0	tax0=Hyphochytrium catenoides:424.0;
scaffold516_cov391	12711	0.4794	72	487.434528048	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold7731_cov469	12698	0.4772	91	532.915919727	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold868_cov539	12694	0.4982	102	550.736896442	Hyphochytrium catenoides	507.0	0	tax0=Hyphochytrium catenoides:507.0;
scaffold1467_cov613	12689	0.522	10	643.962220995	Hyphochytrium catenoides	1036.0	0	tax0=Hyphochytrium catenoides:1036.0;
scaffold3179_cov311	12688	0.4909	0	351.497872005	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold505_cov347	12682	0.4821	300	452.014941043	Hyphochytrium catenoides	3613.0	1	tax0=Hyphochytrium catenoides:3613.0|Oryzias latipes:93.5;
scaffold2530_cov369	12670	0.4852	0	719.846093133	Hyphochytrium catenoides	355.9	0	tax0=Hyphochytrium catenoides:355.9;
scaffold20871_cov399	12665	0.5313	0	548.718357679	Hyphochytrium catenoides	1328.0	0	tax0=Hyphochytrium catenoides:1328.0;
scaffold5103_cov472	12659	0.4844	65	587.156741305	Hyphochytrium catenoides	1267.0	0	tax0=Hyphochytrium catenoides:1267.0;
scaffold228_cov500	12647	0.486	9	617.486311125	Hyphochytrium catenoides	1015.0	0	tax0=Hyphochytrium catenoides:1015.0;
scaffold46754_cov595	12646	0.4964	0	574.848568717	Hyphochytrium catenoides	4224.6	0	tax0=Hyphochytrium catenoides:4224.6;
scaffold12893_cov517	12602	0.4879	74	565.548212005	Hyphochytrium catenoides	516.0	0	tax0=Hyphochytrium catenoides:516.0;
scaffold8256_cov394	12589	0.49	144	506.714182403	Hyphochytrium catenoides	484.0	0	tax0=Hyphochytrium catenoides:484.0;
scaffold4207_cov559	12586	0.5019	0	583.149531225	Hyphochytrium catenoides	1658.0	0	tax0=Hyphochytrium catenoides:1658.0;
scaffold3664_cov352	12563	0.4866	552	459.77329115	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold20238_cov338	12556	0.4832	0	385.547387703	Hyphochytrium catenoides	1959.8	0	tax0=Hyphochytrium catenoides:1959.8;
scaffold1905_cov396	12545	0.4721	254	464.284598487	Hyphochytrium catenoides	549.0	0	tax0=Hyphochytrium catenoides:549.0;
scaffold9283_cov595	12536	0.4861	0	550.794591576	Hyphochytrium catenoides	1539.0	0	tax0=Hyphochytrium catenoides:1539.0;
scaffold7365_cov478	12526	0.4919	104	529.397279021	Hyphochytrium catenoides	16868.0	0	tax0=Hyphochytrium catenoides:16868.0;
scaffold7888_cov582	12514	0.4978	0	603.173405786	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold6245_cov527	12509	0.4908	162	563.14878108	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold2233_cov517	12484	0.4946	185	588.483291324	Hyphochytrium catenoides	3068.0	0	tax0=Hyphochytrium catenoides:3068.0;
scaffold8525_cov328	12468	0.491	26	782.640572255	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold4697_cov297	12446	0.4744	0	285.435481279	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold1807_cov798	12442	0.507	117	862.733955375	Hyphochytrium catenoides	3691.0	0	tax0=Hyphochytrium catenoides:3691.0;
scaffold9369_cov440	12403	0.5024	53	546.989311741	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold2369_cov570	12372	0.4836	0	633.522146783	Hyphochytrium catenoides	8361.0	0	tax0=Hyphochytrium catenoides:8361.0;
scaffold1483_cov652	12350	0.4905	0	657.059757085	Hyphochytrium catenoides	4623.8	0	tax0=Hyphochytrium catenoides:4623.8;
scaffold2374_cov334	12343	0.4806	529	470.352463179	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold9533_cov519	12324	0.4999	0	800.383722817	Hyphochytrium catenoides	4688.0	0	tax0=Hyphochytrium catenoides:4688.0;
scaffold866_cov469	12321	0.4799	271	519.873858921	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold1908_cov349	12258	0.5055	48	571.594676495	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold5515_cov476	12252	0.4949	95	563.710125853	Hyphochytrium catenoides	217.0	0	tax0=Hyphochytrium catenoides:217.0;
scaffold41670_cov478	12234	0.5045	162	598.409294235	Hyphochytrium catenoides	1059.0	0	tax0=Hyphochytrium catenoides:1059.0;
scaffold4444_cov453	12218	0.4938	0	518.192502865	Hyphochytrium catenoides	2384.1	0	tax0=Hyphochytrium catenoides:2384.1;
scaffold552_cov557	12201	0.4999	20	578.468352352	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold99_cov369	12196	0.4898	0	385.847408987	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold3128_cov487	12194	0.5118	161	597.939665919	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold3188_cov471	12182	0.5007	35	691.77747592	Hyphochytrium catenoides	1910.9	0	tax0=Hyphochytrium catenoides:1910.9;
scaffold3734_cov552	12181	0.5179	47	581.443299819	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold6679_cov474	12165	0.495	150	509.577611319	Hyphochytrium catenoides	1273.0	0	tax0=Hyphochytrium catenoides:1273.0;
scaffold41856_cov328	12153	0.487	72	406.021355848	Hyphochytrium catenoides	1748.0	0	tax0=Hyphochytrium catenoides:1748.0;
scaffold2603_cov521	12142	0.4867	91	543.096589495	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold7096_cov475	12139	0.5063	82	522.344115452	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold9722_cov323	12124	0.495	74	363.752448133	Hyphochytrium catenoides	788.0	0	tax0=Hyphochytrium catenoides:788.0;
scaffold9961_cov657	12093	0.5231	23	706.935459818	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold41604_cov508	12092	0.5032	245	620.599223432	Hyphochytrium catenoides	4298.6	0	tax0=Hyphochytrium catenoides:4298.6;
scaffold8430_cov600	12064	0.5015	63	584.322139822	Hyphochytrium catenoides	901.0	0	tax0=Hyphochytrium catenoides:901.0;
scaffold10531_cov569	12062	0.5348	358	649.698650034	Hyphochytrium catenoides	7147.0	0	tax0=Hyphochytrium catenoides:7147.0;
scaffold14317_cov597	12056	0.4953	276	637.683531409	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold4183_cov501	12052	0.4924	42	527.376519567	Hyphochytrium catenoides	2444.0	0	tax0=Hyphochytrium catenoides:2444.0;
scaffold1500_cov440	12040	0.4953	100	492.606700168	Hyphochytrium catenoides	1110.0	0	tax0=Hyphochytrium catenoides:1110.0;
scaffold6915_cov467	12034	0.4859	0	510.553182649	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold50667_cov845	12020	0.5074	0	825.971048253	Hyphochytrium catenoides	480.0	0	tax0=Hyphochytrium catenoides:480.0;
scaffold16657_cov556	12012	0.4943	0	563.18972694	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold3975_cov512	11992	0.493	130	603.567189344	Hyphochytrium catenoides	1088.0	0	tax0=Hyphochytrium catenoides:1088.0;
scaffold29926_cov481	11991	0.4912	0	472.982653657	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold9969_cov612	11981	0.4864	0	594.910775394	Hyphochytrium catenoides	709.0	0	tax0=Hyphochytrium catenoides:709.0;
scaffold9047_cov400	11977	0.4941	116	450.656015513	Hyphochytrium catenoides	4224.0	0	tax0=Hyphochytrium catenoides:4224.0;
scaffold719_cov499	11977	0.4933	0	651.270351507	Hyphochytrium catenoides	379.0	0	tax0=Hyphochytrium catenoides:379.0;
scaffold13395_cov566	11970	0.5018	121	628.907418348	Hyphochytrium catenoides	605.0	0	tax0=Hyphochytrium catenoides:605.0;
scaffold48646_cov611	11947	0.5062	0	589.387377584	Hyphochytrium catenoides	1158.0	0	tax0=Hyphochytrium catenoides:1158.0;
scaffold776_cov544	11946	0.4917	0	578.977230872	Hyphochytrium catenoides	1147.0	0	tax0=Hyphochytrium catenoides:1147.0;
scaffold8189_cov464	11925	0.4888	159	550.926398096	no-hit	0.0	None	tax0=no-hit:0.0;
scaffold8683_cov520	11921	0.4941	303	614.870373558	no-hit	0.0	None	tax0=no-hit:0.0;
